PostalCode,total_policies,claims_count,freq,mean_margin
2000,133498,486,0.003640503977587679,-8.111944272270655
122,49171,210,0.004270810030302414,-22.859806159734156
7784,28585,50,0.0017491691446562883,-13.471242368693684
299,25546,67,0.0026227197995772333,19.55941497955782
7405,18518,29,0.0015660438492277784,17.516824530425943
458,13775,32,0.0023230490018148822,4.546073503345194
8000,11794,51,0.004324232660674919,-16.036381349657034
2196,11048,32,0.002896451846488052,-21.341082330424364
470,10226,44,0.004302757676510855,3.0691478522074913
7100,10161,28,0.002755634287963783,6.798053452446612
1724,10107,25,0.0024735331948154745,-10.914764205773889
4360,9730,27,0.002774922918807811,-19.948374194867696
302,9531,21,0.0022033364809568774,-56.34649492036327
152,9423,32,0.0033959460893558313,27.911639886243183
7750,9408,17,0.0018069727891156463,19.440433168624885
1863,8655,44,0.005083766608896592,-100.57095343411655
1022,8476,16,0.0018876828692779614,11.993273224182836
4068,8234,30,0.0036434296818071412,-22.23365327124928
400,6692,34,0.005080693365212194,38.81259614123584
4001,6647,20,0.0030088761847449977,-57.57625075854396
4092,6526,20,0.0030646644192460926,-36.59270882209044
3610,6429,20,0.0031109037175299425,-12.093161068419409
4051,6267,19,0.003031753630126057,-34.5323542735918
902,6256,19,0.003037084398976982,0.8489315265001931
7570,6004,10,0.0016655562958027982,1.355827229861655
7785,5917,14,0.0023660638837248605,-60.93933012748451
4340,5878,6,0.0010207553589656345,30.13033791553169
4037,5869,21,0.003578122337706594,-50.492399713016134
316,5611,9,0.0016039921582605597,45.63383243351865
7800,5568,5,0.0008979885057471264,-9.11027803396497
4137,5499,15,0.002727768685215494,16.798840879036156
1,5341,12,0.0022467702677401234,-6.4684545047919775
4000,5245,13,0.002478551000953289,-20.15978483704554
314,5047,4,0.0007925500297206261,19.786320537260785
300,4990,7,0.0014028056112224449,45.77776061146982
8020,4857,8,0.0016471072678608193,1.4439750709427335
8017,4517,16,0.0035421740092982067,-20.000238095059302
7441,4472,21,0.004695885509838999,-0.21597944976048278
2410,4129,7,0.0016953257447323807,19.124306325903568
1060,3974,14,0.0035228988424760945,-35.103501601504696
4091,3953,19,0.004806476094105743,-13.766259020922881
360,3935,9,0.002287166454891995,-1.549832435620581
7140,3909,14,0.003581478639038117,-34.79734683382963
1522,3890,11,0.002827763496143959,-13.320933177908703
1818,3868,8,0.002068252326783868,24.569198981755644
4066,3781,8,0.0021158423697434543,-1.0733702284809847
472,3773,3,0.0007951232441028359,30.82353075391309
1868,3641,11,0.0030211480362537764,-15.141729364435317
4099,3620,16,0.004419889502762431,-73.3671047439598
162,3556,10,0.00281214848143982,14.077091280636562
1057,3528,5,0.001417233560090703,16.706871378784168
4359,3523,12,0.0034061879080329264,-25.01199446232489
3613,3510,2,0.0005698005698005698,35.39027281826923
318,3503,3,0.0008564087924636027,30.73676893586704
2090,3462,12,0.0034662045060658577,16.764417598714246
2198,3346,13,0.0038852361028093247,-129.48387507957108
4110,3294,3,0.0009107468123861566,5.60724640854237
190,3290,7,0.002127659574468085,1.0849081082446832
4023,3204,9,0.0028089887640449437,29.654441137969528
450,3170,7,0.0022082018927444794,2.4693673667159266
1632,3169,8,0.0025244556642473968,25.9157386413418
1059,3114,9,0.002890173410404624,-0.6384118989555525
1804,3013,5,0.001659475605708596,2.861884569274537
2001,2989,4,0.0013382402141184342,9.806051089453199
555,2922,6,0.002053388090349076,14.530416418272718
7780,2855,4,0.0014010507880910684,40.52641708652468
7580,2815,3,0.0010657193605683837,31.500109004941223
7764,2772,12,0.004329004329004329,-35.03861844883079
7945,2728,4,0.001466275659824047,32.54329632697445
3950,2625,4,0.0015238095238095239,71.85370040908697
4052,2576,12,0.004658385093167702,-78.0688515555028
305,2555,8,0.0031311154598825833,-13.361643125711007
1020,2554,11,0.004306969459671104,-24.19947527859683
6212,2542,4,0.0015735641227380016,-42.49687696975451
1809,2517,1,0.0003972983710766786,30.90709923234251
183,2515,13,0.005168986083499006,-98.58013202850425
474,2447,11,0.004495300367797303,-14.807672287474595
7793,2431,4,0.0016454134101192926,-25.201892146425834
2037,2424,11,0.004537953795379538,-242.06552182554165
1754,2414,8,0.0033140016570008283,-55.46630972851262
4405,2381,1,0.00041999160016799666,40.399220372309955
1047,2338,9,0.003849443969204448,41.19485276596906
303,2284,6,0.002626970227670753,-119.60760546654487
4056,2245,7,0.0031180400890868597,24.62434176965367
4071,2226,4,0.0017969451931716084,62.09901602100858
1021,2200,6,0.0027272727272727275,12.496555057869895
1813,2175,4,0.0018390804597701149,-0.2068903462960453
4063,2174,17,0.0078196872125115,-52.228135294826636
3201,2118,9,0.00424929178470255,32.81937378432911
1619,2110,2,0.0009478672985781991,4.770939342303953
2744,2109,5,0.002370791844476055,23.37925890218681
7975,2094,10,0.004775549188156638,-255.2622207067223
1441,2074,1,0.00048216007714561236,1.8106171407042622
1550,2074,3,0.0014464802314368371,-0.9802551749861913
200,2044,4,0.0019569471624266144,-26.03051618740694
7455,1999,6,0.0030015007503751876,-13.871066232583587
1811,1979,9,0.004547751389590703,-2.926993208770852
407,1975,9,0.004556962025316456,9.981702502178676
7745,1972,0,0.0,13.732989038579273
742,1964,8,0.004073319755600814,7.14876087318356
7450,1957,6,0.0030659172202350538,-77.32645333551783
308,1937,2,0.0010325245224574084,55.43813654983393
4004,1908,3,0.0015723270440251573,12.213428393716834
1520,1885,2,0.0010610079575596816,25.238661673414217
3170,1850,7,0.0037837837837837837,-5.836764581899713
120,1820,7,0.0038461538461538464,44.158768109790216
5000,1818,3,0.0016501650165016502,25.25197700203945
1759,1815,7,0.003856749311294766,-18.576284191372732
9300,1815,2,0.0011019283746556473,31.690495674447586
7103,1815,2,0.0011019283746556473,26.47468106830272
4011,1812,1,0.0005518763796909492,33.79878007435865
1640,1809,2,0.001105583195135434,35.614846213189644
1852,1803,4,0.0022185246810870773,-26.024231792061634
7490,1794,1,0.0005574136008918618,71.9730206259854
1431,1792,6,0.0033482142857142855,-137.2647331656862
1709,1780,2,0.0011235955056179776,53.06793978697857
3630,1771,6,0.0033879164313946925,-86.3625704741308
208,1765,1,0.0005665722379603399,44.68079374141259
1496,1764,4,0.0022675736961451248,57.650723851626225
1085,1761,5,0.0028392958546280523,42.23153311270705
4093,1761,8,0.004542873367404884,-50.981147116155704
5100,1756,2,0.0011389521640091116,34.15287288790298
186,1742,7,0.004018369690011481,-14.915402588619957
2091,1728,6,0.003472222222222222,-7.404778541795729
4067,1728,0,0.0,0.0
7550,1725,5,0.002898550724637681,58.690481061700204
1050,1711,3,0.0017533606078316774,81.23599301051375
2865,1708,0,0.0,59.77406254674255
2194,1705,8,0.00469208211143695,-82.18837932476636
338,1671,4,0.0023937761819269898,8.957615491741475
182,1664,9,0.005408653846153846,8.214902310686847
6213,1627,12,0.007375537799631223,-5.853787564294989
8301,1618,3,0.001854140914709518,1.6185386117877971
1803,1612,5,0.003101736972704715,20.484521587184584
1685,1606,1,0.0006226650062266501,13.246021346802836
4060,1604,9,0.005610972568578554,-2.6388998973417612
4449,1600,2,0.00125,34.90777359662568
7530,1599,2,0.0012507817385866166,25.244027215280475
7493,1589,2,0.0012586532410320957,42.84969714113007
3973,1581,1,0.0006325110689437065,36.00153178645523
309,1568,5,0.0031887755102040817,0.8182977913289458
4069,1523,6,0.003939592908732764,-61.355325283959615
7501,1512,0,0.0,42.293401413479735
3880,1508,1,0.000663129973474801,68.17513016918605
2014,1504,2,0.0013297872340425532,18.517661633721705
4059,1500,5,0.0033333333333333335,59.38419544563886
2876,1500,1,0.0006666666666666666,-10.720135991322561
1865,1493,6,0.004018754186202277,-53.93240387228709
2,1488,6,0.004032258064516129,-0.6878824679688095
1401,1484,7,0.0047169811320754715,-55.28980322741919
5247,1451,1,0.0006891798759476223,51.571883065702174
2499,1442,2,0.0013869625520110957,-17.38076581884686
4200,1441,10,0.006939625260235947,-54.125485430125345
1458,1423,4,0.0028109627547434997,32.57905907714654
5219,1421,1,0.0007037297677691766,90.90600503713802
9869,1415,1,0.0007067137809187279,43.19363107854157
1875,1393,1,0.0007178750897343862,12.671412887375476
370,1390,3,0.002158273381294964,19.7535671800757
2092,1370,5,0.0036496350364963502,25.988288098321295
177,1361,8,0.005878030859662013,-32.883946349385205
1455,1344,2,0.001488095238095238,-21.447652695105926
2093,1342,4,0.0029806259314456036,-176.3096238929137
4057,1314,7,0.00532724505327245,-60.723117622680945
699,1312,5,0.0038109756097560975,52.54885843021018
2530,1305,5,0.0038314176245210726,40.71896786986598
2870,1304,0,0.0,42.430150425539225
8,1279,1,0.0007818608287724785,89.62463450238636
1984,1278,7,0.005477308294209703,34.2462512435432
7783,1260,2,0.0015873015873015873,-70.1040463813303
4061,1253,3,0.0023942537909018356,35.58301937210159
1460,1253,6,0.004788507581803671,7.245350597163151
1862,1251,2,0.0015987210231814548,72.31220745851344
2735,1246,1,0.0008025682182985554,54.652495969444914
1039,1233,2,0.0016220600162206002,-28.166265189065385
1874,1188,8,0.006734006734006734,-90.81650774963398
4126,1180,1,0.000847457627118644,44.777271778030155
1559,1170,1,0.0008547008547008547,55.35652350962854
1030,1163,10,0.008598452278589854,-33.46608132228373
4820,1156,1,0.0008650519031141869,-93.82802429829655
1830,1129,0,0.0,46.88374524877801
1426,1125,5,0.0044444444444444444,-58.63778195359392
1053,1115,1,0.0008968609865470852,50.0460001383948
404,1096,5,0.004562043795620438,-44.04497101501498
7888,1077,0,0.0,23.031923516484174
2880,1065,1,0.0009389671361502347,35.37290068876425
7766,1064,0,0.0,13.42587947479043
7581,1044,4,0.0038314176245210726,-71.83462435180856
1939,1039,1,0.0009624639076034649,45.48281319428745
7160,1038,1,0.0009633911368015414,-75.71845369820674
125,1038,7,0.00674373795761079,-29.69403640791359
4309,1028,2,0.0019455252918287938,43.014409864405955
1072,1028,1,0.0009727626459143969,24.707727297984185
4960,1023,2,0.0019550342130987292,54.24329199492578
6200,1021,1,0.0009794319294809011,40.790250343152074
4310,1013,5,0.004935834155972359,-143.1693360452956
1541,1009,2,0.0019821605550049554,34.584400892813214
307,1003,2,0.0019940179461615153,-179.85250014811228
3250,996,2,0.002008032128514056,7.151611596925176
3780,984,1,0.0010162601626016261,60.03940457008396
1682,977,4,0.0040941658137154556,-0.44086380706891865
1061,970,4,0.004123711340206186,64.75500016148588
3900,968,0,0.0,79.98523327229672
9301,957,1,0.0010449320794148381,52.0381569343688
7941,938,6,0.006396588486140725,6.603475565417791
1475,937,1,0.0010672358591248667,56.5469189459859
4065,930,5,0.005376344086021506,-45.28417889077555
179,927,6,0.006472491909385114,-248.5291093760783
1779,921,2,0.002171552660152009,54.68475368524427
1064,913,0,0.0,59.67481917328185
164,907,1,0.0011025358324145535,9.462856051374205
250,907,0,0.0,77.06511766746563
2890,904,4,0.004424778761061947,52.39071397636583
2040,892,4,0.004484304932735426,20.98984127074733
4094,888,6,0.006756756756756757,-48.386121114103396
5099,887,1,0.0011273957158962795,1.095681376830673
8051,886,3,0.003386004514672686,-17.800915604109147
430,873,1,0.001145475372279496,-1.2087570687890499
4105,872,2,0.0022935779816513763,-18.92274078350303
4030,862,2,0.002320185614849188,19.02783806031952
1739,846,4,0.004728132387706856,-203.72979605093605
1120,843,3,0.0035587188612099642,59.427361959503806
4089,839,0,0.0,106.80955750371133
333,834,3,0.0035971223021582736,32.33583573842668
4133,832,1,0.001201923076923077,48.27084673301661
5322,814,6,0.007371007371007371,-48.74346120213744
739,814,0,0.0,71.45340180530091
201,810,5,0.006172839506172839,24.00216731015079
557,810,3,0.003703703703703704,21.167874229762983
269,802,0,0.0,72.60879527723155
355,802,1,0.0012468827930174563,65.12121368727274
1983,800,0,0.0,88.01680868114461
157,799,7,0.008760951188986232,-54.54636664452098
449,796,6,0.007537688442211055,-81.43571259652958
6600,784,1,0.0012755102040816326,45.60853178332716
1700,782,3,0.0038363171355498722,-82.19642791906783
6000,778,1,0.0012853470437017994,-64.82737719007302
3370,775,0,0.0,95.5999225294068
556,768,0,0.0,71.1489891021444
2502,768,0,0.0,0.7685942363469153
7439,756,0,0.0,1.5357740747371018
2056,753,3,0.00398406374501992,-107.02574743470966
2157,751,9,0.011984021304926764,-281.510193565557
1618,735,2,0.0027210884353741495,-11.051741221534824
5410,730,1,0.0013698630136986301,74.05803746514582
4450,730,0,0.0,85.42914343781246
320,729,1,0.0013717421124828531,50.493945990468006
1774,717,2,0.002789400278940028,-32.472220589829
335,717,3,0.0041841004184100415,-43.78857332177374
402,710,3,0.004225352112676056,40.169847708776416
4380,707,2,0.002828854314002829,-18.610483386684656
84,701,1,0.0014265335235378032,55.88142903621378
1129,694,0,0.0,53.55774028281306
3380,689,0,0.0,67.42000740200434
7503,682,1,0.001466275659824047,36.16594504246127
1123,681,1,0.0014684287812041115,34.593369915243194
2069,678,1,0.0014749262536873156,54.47710782612379
7460,676,1,0.0014792899408284023,46.05127323316769
7569,675,0,0.0,2.4389547758284427
81,669,7,0.01046337817638266,-595.8479825788013
3700,663,3,0.004524886877828055,-318.17262702957146
700,662,4,0.006042296072507553,-8.442863331582453
4031,657,7,0.0106544901065449,-154.04318068364086
