,0
Model_DUCATO 2.3 JTD F/C C/C,4.704986400483335e-13
Model_3 2.0 INDIVIDUAL,4.640732242933154e-13
make_PEUGEOT,4.634903572053872e-13
Model_VERSO 1.8 SX CVT,4.5313752750075764e-13
Model_GRAND LIVINA 1.6 ACENTA,4.462819003236973e-13
Model_COROLLA 2.0 D-4D ADVANCED,4.4616567385080685e-13
Model_IBHUBEZI 2.2i,4.3748338285354293e-13
VehicleType_Heavy Commercial,4.2599257454867256e-13
Model_HiACE SUPER 16 F/Lift,4.241051954068098e-13
Model_LIVINA 1.6 VISIA X-GEAR,4.233280392895722e-13
Model_AVANZA 1.5 TX,4.2177372705509697e-13
Model_MICRA 1.5 TEKNA 5DR (D85),4.2101044872566717e-13
Model_NV350 2.5i WIDE F/C P/V,4.204640108307345e-13
Model_SPRINTER 315 CDI F/C D/C,4.1197600886277996e-13
make_OPEL,4.113376306236205e-13
Model_CORSA 1.4iS A/C P/S,4.112543638967736e-13
make_MITSUBISHI,4.0545344859310717e-13
Model_EMGRAND EC 7 1.8 EXEC,3.985544533291474e-13
make_GEELY,3.9729330936211227e-13
VehicleType_Bus,3.9612757518625585e-13
Model_COROLLA RXi,3.9552909558704386e-13
Model_ATEGO 1217/48 F/C C/C,3.8081777314902254e-13
Model_LT46 2.5TDi H/ROOF F/C P/V,3.802964887444915e-13
Model_LPO 918 TC B/S B/S,3.7549130471603576e-13
Model_F94 MARCO POLO BUS B/S B/S,3.720912467031212e-13
make_HONDA,3.6964875604894587e-13
Model_CERATO 1.6 A/T,3.627653732962699e-13
Model_CRAFTER 50 HR 120 F/C P/V,3.625710842669605e-13
Model_C200 BE CLASSIC,3.6043390494455707e-13
Model_QUANTUM 2.5 D-4D SESFIKILE 16s,3.556599459386689e-13
VehicleType_Light Commercial,3.54605234065275e-13
Model_NP200 1.6  A/C SAFETY PACK P/U S/C,3.534672554650342e-13
make_JINBEI,3.5244029916725594e-13
Model_SPRINTER 515 CDi F/C P/V,3.5156599853536363e-13
make_TATA,3.507819035242221e-13
Model_35 S13V 9M F/C P/V,3.4820757388587253e-13
Model_ALMERA 1.6 COMFORT (H14/25),3.4669489501482076e-13
Model_VIEW 2.2 TAXI,3.452793606584237e-13
Model_CERATO 1.6 5DR,3.4390545966545005e-13
Model_COROLLA 1.3 ESTEEM,3.398089101769308e-13
Model_MICROBUS EXCLUSIVE 2.6,3.390621117205228e-13
Model_RELAY 2.2 L2H1 15 SEAT,3.374314716531046e-13
Model_SPRINTER 515 CDI XL F/C P/V,3.3673064336881e-13
Model_TIIDA 1.6 ACENTA (H33),3.331779296900095e-13
Model_CRAFTER 50 2.0 TDi HR 80KW F/C P/V,3.310685059432217e-13
Model_SPRINTER 518 CDI D/C F/C C/C,3.291811268013589e-13
Model_INYATHI GOLDEN DRAGON,3.2869366950460943e-13
Model_TOURAN 1.4 TSi HIGHLINE,3.2686700568440585e-13
Model_RANGER 3.2TDCi WILDTRACK A/T P/U D/C,3.2553473805485567e-13
Gender_Not specified,3.241851231905457e-13
Model_HiACE 2200 F/C P/V,3.1642743980597743e-13
Model_35S12V12 F/C P/V,3.0932895134228033e-13
Model_SPRINTER 518 CDI F/C C/C,3.05540315270747e-13
make_FORD,3.055333763768431e-13
Model_50 C13 F/C C/C,3.0338145190489385e-13
Model_CADDY MAXI 2.0TDi (81KW) CREWBUS P/V,2.9665159217984183e-13
Model_SPRINTER 519 CDi F/C P/V,2.963462808480699e-13
Model_50 C15V 15 F/C P/V,2.892408534904689e-13
Model_E 200 CGI BE,2.8919922012704546e-13
Model_ETUDE 160iSE SPORT 5dr,2.853524708190669e-13
Model_VITO 115 CDI CREWBUS,2.8513302829935583e-13
Model_AVANZA 1.3 S,2.8083091407893335e-13
Model_330i (E90),2.8078407654508197e-13
Model_LPT 713 S F/C C/C,2.798178355689629e-13
Model_523i A/T (E60),2.790684350273409e-13
Model_CITI.COM 1.4i,2.783745456369502e-13
Model_INNOVA 2.7 VVTi 7 SEAT,2.769139084701777e-13
Model_316i A/T (F30),2.7278179715040096e-13
Model_HiACE SUPER 10 F/Lift,2.724348524552056e-13
Model_COROLLA 1.4 PROFESSIONAL,2.7200464103316335e-13
Model_LPT 813 EX2 F/C C/C,2.6954480314422824e-13
Model_50C15 F/C C/C,2.632408180325285e-13
Model_COROLLA 1.3 ADVANCED,2.620681449627682e-13
Model_SPRINTER 518 CDI F/C P/V,2.6123547769429933e-13
Model_320d START (E90),2.5905666500847246e-13
Model_CERATO 1.6 5Dr,2.5860216745776654e-13
Model_SCENIC 1.9 dCi EXPRESSION,2.584868083466141e-13
Model_A4 2.0 TDI AMBITION (B8),2.584633895796884e-13
Model_316i (F30),2.583280811485622e-13
Model_BOXER L4H2 2.2 HDi XLH4 F/C P/V,2.5807828096802155e-13
Model_S70 T5 A/T,2.573566360020152e-13
Model_320d A/T (E90),2.565170298396424e-13
transaction_date,2.5579538487363607e-13
Model_JETTA 1.6 COMFORTLINE,2.530545217815927e-13
Model_SPRINTER 413 CDI HI-ROOF F/C P/V,2.5163204853129173e-13
Model_SPRINTER 315 CDI HI ROOF F/C P/V,2.491132300441734e-13
Model_320i A/T (E90),2.4839852397207096e-13
Model_A4 2.0 TDI AMBITION 125KW (B8),2.4350660376981637e-13
make_SCANIA,2.3955837313849315e-13
Model_CONDOR 2400i ESTATE TE,2.36578118206765e-13
Model_C180 ESTATE A/T,2.358391260059989e-13
Model_320d (E90),2.347011474057581e-13
Model_POLO 1.4 TRENDLINE 5DR,2.3187007869296394e-13
Model_CRAFTER 50 2.0 TDi HR 80KW XLWB F/C P/V,2.3037127760972e-13
Model_S40 2.0,2.303088275645848e-13
Model_T5 KOMBI 2.0 TDi LWB 103kw,2.288308431630526e-13
make_DAIHATSU,2.2823409828731656e-13
Model_C200 BE CLASSIC A/T,2.2430668433770506e-13
Model_A5 SPRTBACK 2.0 TDI MULTI,2.239597396425097e-13
Model_GRAN MOVE A/T,2.2290676249259178e-13
Model_C200K CLASSIC A/T,2.2114254871752337e-13
Model_0305 M BAR B/S CCL,2.205111093722678e-13
Model_AURIS 1.6 XS,2.197929338532134e-13
Model_SHARAN 1.8T,2.1955180729005264e-13
Model_13-206 F/C C/C,2.187538344911033e-13
Model_ETIOS 1.5 Xs 5Dr,2.1871393585115584e-13
Model_HiACE SIYAYA,2.1871393585115584e-13
Model_NAVARA 2.5 dCi XE 4X4 P/U D/C,2.1776330738632055e-13
make_SUZUKI,2.1682655670929307e-13
Model_SCENIC II AUTHENTIQUE 1.6,2.1569031283252826e-13
make_HINO,2.149391775674303e-13
Model_CONQUEST 160i RS,2.1288092816318382e-13
Model_T4 2.5 TDi HIGHLINE,2.1271873151818e-13
make_NISSAN,2.107203300738547e-13
Model_SPRINTER 519 CDI F/C C/C,2.09277040141842e-13
make_IVECO,2.0883295093199195e-13
Model_3 1.6 DYNAMIC,2.0761517505185623e-13
Model_COROLLA 140i,2.0713986081943858e-13
Model_T5 CARAVELLE 2.5TDi 128kw,2.0665760769311703e-13
Model_QUANTUM 2.7 F/C P/V,2.0602963779481342e-13
Model_ETIOS 1.5 Xi 5Dr,2.0460716454451244e-13
make_FIAT,2.0432266989445225e-13
Model_S40 T5 A/T,2.0404511413829596e-13
Model_LANCER 1.6 GL,2.0299213698837804e-13
